300004002,欢乐币券类,3,300004000
100006001,负分清零类,3,100006000
100006006,积分送达类,3,100006000
100010000,会员类,2,100000000
100007000,银子红包类,2,100000000
100006003,逃跑清零类,3,100006000
300005000,游戏币类,2,300000000
400002000,wx测试1,2,400000000
300003000,欢乐币类,2,300000000
100006008,积分送达类,3,100006000
100014000,wxtest2,2,100000000
100011000,比赛券类,2,100000000
300001000,银子类,2,300000000
100000000,道具类,1,0
500000000,话费类,1,0
100012000,虚拟物品类,2,100000000
300004000,优惠券类,2,300000000
100006000,积分类,2,100000000
300004001,现金券类,3,300004000
200000000,服装类,1,0
300000000,财富类,1,0
100006005,积分宝类,3,100006000
300002000,兑换券类,2,300000000
200001000,测试,2,200000000
300001001,我是测试,3,300001000
100009000,游戏类,2,100000000
100006002,积分跃龙门类,3,100006000
200002000,头像框类,2,200000000
100006007,test1,3,100006000
100006004,积分包类,3,100006000
400001000,测试类,2,400000000
100013000,改下名字（测试1）,2,100000000
400000000,实物类,1,0
100015000,背包类,2,100000000
100015001,renyi,3,100015000
300006000,红包券类,2,300000000
100015002,测试游戏道具,3,100015000
100015003,洗牌类,3,100015000
100015004,test,3,100015000
300006001,红包券A,3,300006000
400003000,卡类,2,400000000
400003001,京东卡,3,400003000
500001000,ces,2,500000000
100015005,ceshi,3,100015000
200003000,CSD,2,200000000
300006002,红包券,3,300006000
300007000,奖励金类,2,300000000
100012001,自定义测试,3,100012000
300007001,头号赢家的奖励金,3,300007000
400004000,产品测试,2,400000000
100015006,兑换凭据类,3,100015000
