1,同城游飞行棋_6元60个钻石,1,2,4
2,同城游飞行棋_12元125个钻石,1,2,4
3,同城游飞行棋_30元320个钻石,1,2,4
4,同城游飞行棋_68元770个钻石,1,2,4
5,同城游飞行棋_138元1640个钻石,1,2,4
6,同城游飞行棋_288元3600个钻石,1,2,4
7,双扣(新)_2元120积分,1,2,4
8,双扣(新)_6元360积分,1,2,4
9,双扣(新)_10元600积分,1,2,4
10,双扣(新)_20元1320积分,1,2,4
11,双扣(新)_50元3360积分,1,2,4
12,双扣(新)_100元6900积分,1,2,4
13,双扣(新)_300元20700积分,1,2,4
14,双扣(新)_500元34800积分,1,2,4
15,双扣(新)_1000元70200积分,1,2,4
16,双扣(新)_2元到达100积分,1,2,4
17,双扣(新)_6元到达300积分,1,2,4
18,双扣(新)_10元到达600积分,1,2,4
19,双扣(新)_20元到达1200积分,1,2,4
20,双扣(新)_6元480积分,1,2,4
21,双扣(新)_10元800积分,1,2,4
22,双扣(新)_20元1600积分,1,2,4
23,斗地主_2元12000两银子,1,1,4
24,斗地主_6元45000两银子,1,1,4
25,斗地主_10元90000两银子,1,1,4
26,掼蛋_2元12000两银子,1,1,4
27,掼蛋_6元45000两银子,1,1,4
28,掼蛋_10元90000两银子,1,1,4
29,掼蛋_20元220000两银子,1,1,4
30,掼蛋_50元555000两银子,1,1,4
31,掼蛋_100元1150000两银子,1,1,4
32,掼蛋_300元3450000两银子,1,1,4
33,掼蛋_500元5800000两银子,1,1,4
34,掼蛋_1000元11700000两银子,1,1,4
35,斗地主_20元220000两银子,1,1,4
36,斗地主_50元555000两银子,1,1,4
37,斗地主_100元1150000两银子,1,1,4
38,斗地主_300元3450000两银子,1,1,4
39,斗地主_500元5800000两银子,1,1,4
40,斗地主_1000元11700000两银子,1,1,4
41,逮狗腿_2元负分清零,1,2,4
42,逮狗腿_6元到达120积分,1,2,4
43,逮狗腿_20元到达1200积分,1,2,4
44,邹平够级_1元负分清零,1,2,4
45,邹平够级_2元30积分,1,2,4
46,邹平够级_6元100积分,1,2,4
47,邹平够级_10元170积分,1,2,4
48,邹平够级_20元350积分,1,2,4
49,邹平够级_60元1100积分,1,2,4
50,邹平够级_100元2000积分,1,2,4
51,邹平够级_200元4200积分,1,2,4
52,邹平够级_500元11000积分,1,2,4
53,邹平够级_1000元25000积分,1,2,4
54,天天斗恶龙_1元10个钻石,1,2,4
55,天天斗恶龙_10元300个钻石,1,2,4
56,天天斗恶龙_98元1100个钻石,1,2,4
57,天天斗恶龙_488元5880个钻石,1,2,4
58,天天斗恶龙_6元60个钻石,1,2,4
59,天天斗恶龙_26元280个钻石,1,2,4
60,天天斗恶龙_58元630个钻石,1,2,4
61,天天斗恶龙_128元1450个钻石,1,2,4
62,天天斗恶龙_168元1960个钻石,1,2,4
63,天天斗恶龙_288元3380个钻石,1,2,4
64,天天斗恶龙_2元50个钻石,1,2,4
65,天天斗恶龙_9元100个钻石,1,2,4
66,原子(新)_1元负分清零,1,2,4
67,原子(新)_6元到达120积分,1,2,4
68,四冲_2元12000两银子,1,1,4
69,四冲_6元45000两银子,1,1,4
70,四冲_10元90000两银子,1,1,4
71,四冲_20元220000两银子,1,1,4
72,四冲_50元560000两银子,1,1,4
73,四冲_100元1150000两银子,1,1,4
74,四冲_300元3450000两银子,1,1,4
75,四冲_500元5800000两银子,1,1,4
76,四冲_1000元11700000两银子,1,1,4
77,宜兴炒地皮_2元到达20积分,1,2,4
78,宜兴炒地皮_6元到达120积分,1,2,4
79,宜兴炒地皮_10元到达200积分,1,2,4
80,宜兴炒地皮_20元到达500积分,1,2,4
81,宜兴炒地皮_50元到达1250积分,1,2,4
82,宜兴炒地皮_100元到达3000积分,1,2,4
83,吉林刨幺_2元12000两银子,1,1,4
84,吉林刨幺_6元45000两银子,1,1,4
85,吉林刨幺_10元90000两银子,1,1,4
86,吉林刨幺_20元220000两银子,1,1,4
87,吉林刨幺_50元555000两银子,1,1,4
88,吉林刨幺_100元1150000两银子,1,1,4
89,吉林刨幺_300元3450000两银子,1,1,4
